resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
1,18,1,1,22,1,1,1,1,10,58,1:34:50.616,5690616,39,2,1:27.452,218300,1
2,18,2,2,3,5,2,2,2,8,58,5478,5696094,41,3,1:27.739,217586,1
3,18,3,3,7,7,3,3,3,6,58,8163,5698779,41,5,1:28.090,216719,1
4,18,4,4,5,11,4,4,4,5,58,17181,5707797,58,7,1:28.603,215464,1
5,18,5,1,23,3,5,5,5,4,58,18014,5708630,43,1,1:27.418,218385,1
6,18,6,3,8,13,6,6,6,3,57,0,0,50,14,1:29.639,212974,11
7,18,7,5,14,17,7,7,7,2,55,0,0,22,12,1:29.534,213224,5
8,18,8,6,1,15,8,8,8,1,53,0,0,20,4,1:27.903,217180,5
9,18,9,2,4,2,0,0,9,0,47,0,0,15,9,1:28.753,215100,4
10,18,10,7,12,18,0,0,10,0,43,0,0,23,13,1:29.558,213166,3
11,18,11,8,18,19,0,0,11,0,32,0,0,24,15,1:30.892,210038,7
12,18,12,4,6,20,0,0,12,0,30,0,0,20,16,1:31.384,208907,8
13,18,13,6,2,4,0,0,13,0,29,0,0,23,6,1:28.175,216510,5
14,18,14,9,9,8,0,0,14,0,25,0,0,21,11,1:29.502,213300,4
15,18,15,7,11,6,0,0,15,0,19,0,0,18,10,1:29.310,213758,10
16,18,16,10,20,22,0,0,16,0,8,0,0,8,17,1:32.021,207461,9
17,18,17,9,10,14,0,0,17,0,0,0,0,0,0,0,0,4
18,18,18,11,16,12,0,0,18,0,0,0,0,0,0,0,0,4
19,18,19,8,19,21,0,0,19,0,0,0,0,0,0,0,0,4
20,18,20,5,15,9,0,0,20,0,0,0,0,0,0,0,0,4
21,18,21,10,21,16,0,0,21,0,0,0,0,0,0,0,0,4
22,18,22,11,17,10,0,0,22,0,58,0,0,44,8,1:28.736,215141,2
23,19,8,6,1,2,1,1,1,10,56,1:31:18.555,5478555,37,2,1:35.405,209158,1
24,19,9,2,4,4,2,2,2,8,56,19570,5498125,39,6,1:35.921,208033,1
25,19,5,1,23,8,3,3,3,6,56,38450,5517005,19,7,1:35.922,208031,1
26,19,15,7,11,3,4,4,4,5,56,45832,5524387,53,8,1:36.068,207715,1
27,19,1,1,22,9,5,5,5,4,56,46548,5525103,53,3,1:35.462,209033,1
28,19,2,2,3,5,6,6,6,3,56,49833,5528388,55,1,1:35.366,209244,1
29,19,17,9,10,6,7,7,7,2,56,+1:08.130,5546685,53,12,1:36.696,206366,1
30,19,4,4,5,7,8,8,8,1,56,+1:10.041,5548596,40,10,1:36.288,207240,1
31,19,14,9,9,12,9,9,9,0,56,+1:16.220,5554775,55,9,1:36.206,207417,1
32,19,18,11,16,11,10,10,10,0,56,+1:26.214,5564769,56,4,1:35.715,208481,1
33,19,12,4,6,13,11,11,11,0,56,+1:32.202,5570757,52,15,1:36.956,205812,1
34,19,21,10,21,17,12,12,12,0,55,0,0,52,16,1:36.962,205800,11
35,19,22,11,17,14,13,13,13,0,55,0,0,55,11,1:36.693,206372,11
36,19,3,3,7,16,14,14,14,0,55,0,0,55,13,1:36.782,206182,11
37,19,19,8,19,21,15,15,15,0,55,0,0,55,18,1:38.171,203265,11
38,19,11,8,18,19,16,16,16,0,54,0,0,53,19,1:38.504,202578,12
39,19,6,3,8,22,17,17,17,0,54,0,0,19,17,1:37.711,204222,12
40,19,20,5,15,15,0,0,18,0,39,0,0,37,14,1:36.870,205995,5
41,19,13,6,2,1,0,0,19,0,30,0,0,15,5,1:35.914,208048,20
42,19,16,10,20,20,0,0,20,0,5,0,0,3,20,1:40.330,198891,9
43,19,10,7,12,10,0,0,21,0,1,0,0,0,0,0,0,4
44,19,7,5,14,18,0,0,22,0,0,0,0,0,0,0,0,20
45,20,13,6,2,2,1,1,1,10,57,1:31:06.970,5466970,38,3,1:33.600,208153,1
46,20,8,6,1,4,2,2,2,8,57,3339,5470309,35,4,1:33.709,207911,1
47,20,9,2,4,1,3,3,3,6,57,4998,5471968,55,5,1:33.775,207765,1
48,20,2,2,3,6,4,4,4,5,57,8409,5475379,48,2,1:33.565,208231,1
49,20,5,1,23,5,5,5,5,4,57,26789,5493759,49,1,1:33.193,209062,1
50,20,15,7,11,7,6,6,6,3,57,41314,5508284,45,7,1:34.204,206819,1
51,20,17,9,10,11,7,7,7,2,57,45473,5512443,51,8,1:34.305,206597,1
52,20,3,3,7,8,8,8,8,1,57,55889,5522859,57,6,1:34.072,207109,1
53,20,10,7,12,13,9,9,9,0,57,+1:09.500,5536470,56,9,1:34.807,205503,1
54,20,4,4,5,10,10,10,10,0,57,+1:17.181,5544151,35,13,1:35.194,204668,1
55,20,22,11,17,12,11,11,11,0,57,+1:17.862,5544832,40,10,1:34.855,205399,1
56,20,21,10,21,18,12,12,12,0,56,0,0,56,11,1:35.057,204963,11
57,20,1,1,22,3,13,13,13,0,56,0,0,25,19,1:35.520,203969,11
58,20,6,3,8,16,14,14,14,0,56,0,0,30,17,1:35.433,204155,11
59,20,7,5,14,15,15,15,15,0,56,0,0,33,15,1:35.333,204369,11
60,20,19,8,19,21,16,16,16,0,56,0,0,45,14,1:35.324,204389,11
